title,url,author,date
Pride and Prejudice,https://www.gutenberg.org/files/1342/1342-0.txt,Jane Austen,1813
Emma,https://www.gutenberg.org/files/158/158-0.txt,Jane Austen,1815
Jane Eyre,https://www.gutenberg.org/files/1260/1260-0.txt,Charlotte Brontë,1847
Wuthering Heights,https://www.gutenberg.org/files/768/768-0.txt,Emily Brontë,1847
Middlemarch,https://www.gutenberg.org/files/145/145-0.txt,George Eliot,1871
The Mill on the Floss,https://www.gutenberg.org/files/6688/6688-0.txt,George Eliot,1860
A Vindication of the Rights of Woman,https://www.gutenberg.org/cache/epub/3420/pg3420.txt,Mary Wollstonecraft,1792
"Mary, A Fiction",https://www.gutenberg.org/cache/epub/16357/pg16357.txt,Mary Wollstonecraft,1798
Woman in the Nineteenth Century,https://www.gutenberg.org/cache/epub/8642/pg8642.txt,Margaret Fuller,1845
Little Women,https://www.gutenberg.org/files/514/514-0.txt,Louisa May Alcott,1868
An Old-Fashioned Girl,https://www.gutenberg.org/cache/epub/2787/pg2787.txt,Louisa May Alcott,1869
The Yellow Wallpaper,https://www.gutenberg.org/files/1952/1952-0.txt,Charlotte Perkins Gilman,1892
Herland,https://www.gutenberg.org/files/32/32-0.txt,Charlotte Perkins Gilman,1915
The Voyage Out,https://www.gutenberg.org/cache/epub/144/pg144.txt,Virginia Woolf,1915
Mrs Dalloway,https://www.gutenberg.org/cache/epub/71865/pg71865.txt,Virginia Woolf,1925
The Awakening,https://www.gutenberg.org/files/160/160-0.txt,Kate Chopin,1899
Bayou Folk,https://www.gutenberg.org/cache/epub/46650/pg46650.txt,Kate Chopin,1894
The Woman's Bible,https://www.gutenberg.org/cache/epub/9880/pg9880.txt,Elizabeth Cady Stanton,1895
Eighty Years and More,https://www.gutenberg.org/cache/epub/11982/pg11982.txt,Elizabeth Cady Stanton,1898
Narrative of Sojourner Truth,https://www.gutenberg.org/cache/epub/1674/pg1674.txt,Sojourner Truth,1850
Strife and Peace,https://www.gutenberg.org/cache/epub/20156/pg20156.txt,Fredrika Bremer,1844
