,character
0,"terry
o. nicholson"
1,jeff
2,vandyck jennings
3,terry
4,terry
5,jeff margrave
6,terry
7,jeff
8,jeff
9,terry
10,terry
11,jeff
12,terry
13,terry
14,plenty people
15,terry
16,van
17,terry
18,van
19,terry
20,terry
21,jeff
22,terry
23,terry
24,terry
25,terry
26,jeff
27,terry
28,dangerous
29,terry
30,van
31,terry
32,terry
33,t. o. nicholson
34,"terry
explained"
35,jeff
36,terry
37,jeff
38,terry
39,jeff
40,terry
41,jeff
42,terry
43,yellow
44,terry
45,jeff
46,jeff
47,terry
48,terry
49,jeff
50,terry
51,terry
52,jeff
53,jeff
54,terry
55,jeff
56,terry
57,solomon
58,jeff
59,jeff
60,terry
61,jeff
62,terry
63,terry
64,terry
65,terry
66,jeff
67,terry
68,jeff
69,terry
70,terry
71,ladyland
72,jeff
73,terry
74,terry
75,terry
76,terry
77,terry
78,jeff
79,terry
80,terry
81,jeff
82,terry
83,jeff
84,terry
85,terry
86,jeff
87,jeff
88,terry
89,here”--he
90,jeff
91,terry
92,here”--he
93,jeff
94,"terry
declared"
95,terry
96,terry
97,jeff
98,terry
99,terry
100,jeff margrave
101,jeff
102,vandyck jennings”--i
103,terry
104,celis
105,terry
106,terry
107,terry
108,ellador
109,terry
110,alima
111,terry
112,terry
113,terry
114,jeff
115,terry
116,jeff
117,jeff
118,terry
119,terry
120,jeff
121,terry
122,jeff
123,terry
124,jeff
125,terry
126,jeff
127,terry
128,jeff
129,terry
130,jeff
131,terry
132,terry
133,"terry
"
134,jeff
135,jeff
136,colonels
137,terry
138,jeff
139,terry
140,terry
141,jeff
142,terry
143,terry
144,jeff
145,terry
146,jeff
147,terry
148,terry
149,terry
150,terry
151,jeff
152,terry swung
153,terry
154,jeff
155,terry
156,jeff
157,terry
158,jeff
159,terry
160,hobson
161,terry
162,terry
163,jeff
164,terry
165,jeff
166,jeff
167,terry
168,colonels
169,jeff
170,jeff
171,terry
172,jeff
173,terry
174,jeff
175,terry
176,jeff
177,van
178,terry
179,terry
180,glad
181,terry
182,jeff
183,jeff
184,jeff
185,terry
186,jeff
187,terry
188,terry
189,jeff
190,jeff
191,jeff
192,jeff
193,chinaman
194,terry
195,jeff
196,terry
197,terry
198,jeff
199,terry
200,jeff
201,terry
202,jeff
203,terry
204,jeff
205,terry
206,terry’s moadine
207,somel
208,jeff
209,zava
210,aunt esther
211,terry
212,terry
213,jeff
214,terry
215,jeff
216,van
217,jeff
218,van
219,terry
220,jeff
221,terry
222,terry
223,terry
224,jeff
225,terry
226,jeff
227,terry
228,jeff
229,grandma
230,terry
231,bush
232,terry
233,jeff
234,jeff
235,terry
236,jeff
237,terry
238,luck
239,terry
240,van
241,jeff
242,terry
243,jeff
244,terry
245,jeff
246,terry
247,terry
248,terry
249,terry
250,terry
251,terry
252,ellador
253,terry
254,jeff
255,terry
256,terry
257,jeff
258,terry
259,ellador
260,jeff
261,terry
262,celis
263,terry
264,terry
265,terry
266,terry
267,colonels
268,terry
269,terry
270,terry
271,jeff
272,terry
273,terry
274,terry
275,terry
276,somel
277,terry
278,terry
279,jeff
280,zava
281,birth
282,terry
283,jeff
284,somel
285,somel
286,somel
287,terry
288,jeff
289,zava
290,terry
291,somel
292,jeff
293,terry
294,milk
295,terry
296,jeff
297,somel
298,terry
299,terry
300,terry
301,jeff
302,thomas
303,terry
304,zava
305,terry
306,thomas
307,jeff
308,terry
309,jeff
310,jeff
311,terry
312,somel
313,jeff
314,terry
315,zava
316,terry
317,jeff
318,terry
319,somel
320,jeff
321,jeff
322,terry
323,colonels
324,jeff
325,titus andronicus
326,motherhood
327,terry
328,jeff
329,terry sneered
330,jeff
331,terry
332,terry
333,terry
334,colonels
335,terry
336,danger
337,jeff
338,jeff
339,terry
340,terry
341,terry
342,mother earth
343,mother earth
344,terry
345,terry
346,terry
347,terry
348,somel
349,zava
350,terry
351,jeff
352,jeff
353,terry
354,zava
355,terry
356,moadine
357,moadine
358,jeff
359,zava
360,terry
361,moadine
362,somel
363,terry
364,jeff
365,terry
366,moadine
367,terry
368,jeff
369,jeff
370,jeff
371,jeff
372,human motherhood
373,terry
374,zava
375,jeff
376,motherhood
377,terry
378,jeff
379,terry
380,somel
381,i. “here
382,motherhood
383,somel
384,terry
385,terry
386,terry
387,terry
388,jeff
389,zava
390,somel
391,terry
392,moadine
393,somel
394,terry
395,moadine
396,jeff
397,terry
398,jeff
399,jeff
400,terry
401,jeff
402,java
403,mocha
404,somel
405,moadine
406,moadine
407,terry
408,somel
409,jeff
410,somel
411,jeff
412,terry
413,moadine
414,lato
415,amel
416,lato
417,amel
418,lato
419,amel
420,jeff
421,terry
422,terry
423,terry
424,somel
425,zava
426,terry
427,jeff
428,terry
429,jeff
430,terry
431,jeff
432,jeff
433,terry
434,somel
435,somel
436,somel
437,somel
438,motherhood
439,terry
440,terry
441,terry
442,terry
443,henry v
444,jeff
445,moadine
446,somel
447,aristotle
448,somel
449,moadine
450,terry
451,jeff
452,jeff
453,jeff
454,terry
455,terry
456,jeff
457,jeff
458,terry
459,terry
460,jeff
461,jeff
462,terry
463,ellador
464,terry
465,terry
466,terry
467,somel
468,jeff
469,terry
470,ellador
471,jeff
472,terry
473,alima
474,ellador
475,jeff
476,celis
477,alma
478,ellador
479,jeff
480,celis
481,alima
482,alima
483,terry
484,ellador
485,jeff
486,celis
487,terry
488,terry
489,alima
490,terry
491,ellador
492,alima
493,terry
494,jeff
495,terry
496,jeff
497,terry
498,theirs
499,celis
500,terry
501,celis
502,terry
503,ellador
504,terry
505,ellador
506,terry
507,terry
508,alima
509,ellador
510,terry
511,terry
512,terry
513,jeff
514,terry
515,ellador
516,jeff
517,terry
518,terry
519,jeff
520,theirs
521,jeff
522,terry
523,jeff
524,terry
525,jeff
526,ellador
527,terry
528,alima
529,ellador
530,jeff
531,celis
532,ellador
533,ellador
534,terry
535,ellador
536,somel
537,ellador
538,somel
539,ellador
540,somel
541,somel
542,ellador
543,ellador
544,ellador
545,son
546,virgin
547,devil
548,ellador
549,ellador
550,ellador
551,ellador
552,ellador
553,ellador
554,van
555,jeff
556,jeff
557,jeff
558,terry
559,nicholson
560,t. o. nicholson
561,jeff
562,celis
563,jeff
564,alima
565,terry
566,alima
567,terry
568,alima
569,celis
570,terry
571,anybody’d
572,terry
573,anybody’d
574,alima
575,jeff
576,somel
577,zava
578,moadine
579,somel
580,ellador
581,terry
582,terry
583,terry
584,terry
585,terry
586,terry
587,terry
588,jeff
589,jeff
590,celis
591,celis
592,jeff
593,terry
594,jeff
595,terry
596,galahad
597,jeff
598,terry
599,fatherhood
600,terry
601,fatherhood
602,motherhood
603,jeff
604,alima
605,alima
606,terry
607,ellador
608,terry
609,jeff
610,ellador
611,terry
612,ellador
613,terry
614,ellador
615,ellador
616,terry
617,terry
618,ellador
619,ellador
620,almroth wright
621,ellador
622,ellador
623,ellador
624,jeff
625,celis
626,terry
627,alima
628,ellador
629,terry
630,terry
631,terry
632,terry
633,jeff
634,terry
635,jeff
636,terry
637,jeff
638,terry
639,ellador
640,terry
641,alima
642,alima
643,moadine
644,terry
645,terry
646,ellador
647,alima
648,moadine
649,ellador
650,alima
651,moadine
652,terry
653,terry
654,terry
655,terry
656,terry
657,terry
658,terry
659,ellador
660,jeff
661,terry
662,terry
663,ellador
664,jeff
665,celis
666,jeff
667,ellador
668,jeff
669,ellador
670,ellador
671,ellador
672,terry
673,terry’s
674,ellador
675,somel
676,ellador
677,ellador
678,epictetus
679,terry
680,alima
681,terry
682,ellador
683,ellador
684,ellador
685,celis
686,celis
687,ellador
688,ellador
689,ellador
690,ellador
691,ellador
692,ellador
693,josephine
694,j. d. d. bacon
695,jeff
696,terry
697,jeff
698,terry
699,ellador
700,terry
701,terry
702,terry
703,morbid
704,moadine
705,alima
706,almwroth wright
707,lucretius
708,alima
709,terry
710,terry
711,ellador
712,ellador
713,ellador
714,somel
715,zava
716,ellador
717,somel
718,zava
719,ellador
720,somel
721,ellador
722,ellador
723,jeff
724,terry
725,moadine
726,zava
727,ellador
728,ambrose
729,ambrose
730,ambrose
731,ambrose
732,ambrose
733,ambrose
734,ambrose
735,ambrose
736,westminster
737,lars porsena
738,waterloo bridge
739,nelson
740,ridley
741,ambrose
742,ambrose
743,picadilly circus
744,night schools
745,ambrose
746,mournfully helen
747,mournfully helen
748,rachel vinrace
749,ambrose
750,rachel
751,ambrose
752,pepper
753,rachel
754,husband
755,pepper
756,ambrose
757,pepper
758,ambrose
759,helen
760,helen
761,pepper
762,rachel
763,helen
764,rachel
765,jenkinson
766,ambrose
767,pepper
768,pepper
769,ridley
770,pepper
771,ridley
772,pepper
773,pepper
774,ridley
775,pepper
776,ambrose
777,pepper
778,ambrose
779,pepper
780,pepper
781,pepper
782,norman
783,ridley
784,miles
785,pepper
786,ridley
787,pepper
788,bruce
789,pepper
790,ambrose
791,helen
792,rachel
793,pepper
794,rachel
795,rachel
796,helen
797,ambrose
798,pepper
799,pepper
800,ambrose
801,helen
802,rachel
803,alexandra
804,pepper
805,rachel
806,rachel
807,helen
808,william pepper
809,helen
810,odysseus
811,helen
812,helen
813,aunt bessie
814,helen
815,aunt bessie
816,helen
817,ambrose
818,rachel
819,helen
820,ambrose
821,willoughby
822,willoughby
823,rachel
824,helen
825,rachel
826,helen
827,helen
828,ambrose
829,ambrose
830,willoughby
831,rachel
832,willoughby
833,willoughby
834,pepper
835,vinrace
836,helen
837,pepper
838,vinrace
839,pepper
840,buddha
841,vinrace
842,buenos aires
843,willoughby
844,rachel
845,pepper
846,rachel
847,ambrose
848,pepper
849,pepper
850,helen
851,willoughby
852,willoughby
853,willoughby
854,helen
855,willoughby
856,willoughby
857,aristotle
858,rachel
859,rachel
860,pepper
861,pepper
862,greeks
863,pepper
864,pepper
865,coryphaeus
866,ambrose
867,ambrose
868,willoughby
869,willoughby
870,ambrose
871,euphrosyne
872,rachel
873,pepper
874,rachel
875,pepper
876,rachel
877,chailey
878,chailey
879,chailey
880,vinrace
881,rachel
882,vinrace
883,chailey
884,chailey
885,emma chailey
886,willoughby
887,chailey
888,chailey
889,ambrose
890,vinrace
891,helen
892,chailey
893,ambrose
894,chailey
895,ambrose
896,helen
897,rachel
898,chailey
899,ambrose
900,jerseys knelt
901,pepper
902,willoughby
903,rachel—helen
904,rachel
905,helen
906,rachel
907,rachel
908,queen elizabeth
909,queen elizabeth
910,rachel
911,tristan
912,cowper’s letters
913,aunt lucy
914,aunt lucy
915,aunt lucy
916,aunt lucy
917,aunt lucy
918,vinrace
919,aunt lucy
920,vinrace
921,rachel
922,rachel
923,pepper
924,beethoven op.
925,william cowper
926,ambrose
927,rachel
928,ambrose
929,rachel
930,rachel
931,ambrose
932,euphrosyne
933,willoughby
934,jackson
935,jackson
936,rachel
937,jackson
938,rachel
939,richard dalloway
940,richard dalloway
941,jackson
942,jackson
943,jackson
944,jackson
945,willoughby
946,dalloway
947,dalloway
948,dalloway
949,dalloway
950,dalloway
951,richard
952,dalloway
953,euphrosyne
954,amazons
955,richard
956,jackson
957,euphrosyne
958,dalloway
959,dalloway
960,whistler
961,rachel
962,rachel
963,willoughby
964,chailey
965,grice
966,rachel
967,helen
968,rachel
969,rachel
970,willoughby
971,ambrose
972,dalloway
973,ambrose
974,dalloway
975,pepper
976,dalloway
977,willoughby
978,richard
979,vinrace
980,mauretania
981,richard
982,vinrace
983,mauretania
984,richards
985,sedgius
986,pepper
987,willoughby
988,clarissa
989,helen
990,dalloway
991,helen
992,ridley
993,dalloway
994,pepper
995,dalloway
996,richard
997,willoughby
998,ambrose
999,ambrose
1000,ridley
1001,ambrose
1002,richard
1003,willoughby
1004,richard
1005,richard
1006,dalloway
1007,shelley
1008,richard
1009,shelley
1010,matthew arnold
1011,matthew arnold
1012,richard
1013,helen
1014,dalloway
1015,dalloway
1016,helen
1017,dalloway
1018,lady ditchling
1019,pepper
1020,τοῦτο
1021,"νότῳ
χωρεῖ"
1022,dalloway
1023,ridley
1024,dalloway
1025,clarissa
1026,plato
1027,plato
1028,plato
1029,willoughby
1030,willoughby
1031,richard
1032,helen
1033,dalloway
1034,dalloway
1035,dalloway
1036,romney
1037,dalloway
1038,rachel
1039,dalloway
1040,rachel
1041,helen
1042,dalloway
1043,ambrose
1044,tristan
1045,helen
1046,rachel
1047,helen
1048,dalloway
1049,ambrose
1050,tristan
1051,helen
1052,rachel
1053,clarissa
1054,rachel
1055,tristan
1056,bayreuth
1057,rachel
1058,rachel
1059,clarissa
1060,helen
1061,clarissa
1062,william broadley
1063,henry philips
1064,helen
1065,helen
1066,rachel
1067,rachel
1068,helen
1069,clarissa
1070,helen
1071,helen
1072,rachel
1073,rachel
