sentence,title,author,year,chunk_id,inferred_emotion,sentence_length
"And as we got farther and farther upstream, in a dark tangle of rivers,
lakes, morasses, and dense forests, with here and there an unexpected
long spur running out from the big mountains beyond, I noticed that more
and more of these savages had a story about a strange and terrible Woman
Land in the high distance.",Herland,Charlotte Perkins Gilman,1915,CP_002,surprise,57
"It was funny though, in the light of what we did find, those extremely
clear ideas of ours as to what a country of women would be like.",Herland,Charlotte Perkins Gilman,1915,CP_006,joy,28
"“It will be like a nunnery under an
abbess--a peaceful, harmonious sisterhood.”",Herland,Charlotte Perkins Gilman,1915,CP_006,joy,12
"“Only women there--and children,” Jeff urged excitedly.",Herland,Charlotte Perkins Gilman,1915,CP_009,joy,7
"For uneasiness, for curiosity, for excitement--and all we saw was what
might have been a vigilance committee of women doctors, as cool as
cucumbers, and evidently meaning to take us to task for being there.",Herland,Charlotte Perkins Gilman,1915,CP_015,joy,35
"Never, anywhere before, had I seen women of precisely this quality.",Herland,Charlotte Perkins Gilman,1915,CP_016,surprise,11
"“So you realize what these ladies have done to
us?”",Herland,Charlotte Perkins Gilman,1915,CP_018,surprise,10
"Do you think these highly civilized ladies are going to
give us any breakfast?”",Herland,Charlotte Perkins Gilman,1915,CP_019,surprise,14
"We had no weapons, and if we did try to do any damage, with
a chair, say, why five to one was too many for us, even if they were
women; that we had found out to our sorrow.",Herland,Charlotte Perkins Gilman,1915,CP_020,sadness,39
"We all concurred on this point, and returned to our discussion as to the
women.",Herland,Charlotte Perkins Gilman,1915,CP_021,joy,15
"But I did miss
it--at first.",Herland,Charlotte Perkins Gilman,1915,CP_022,sadness,6
"We remembered those fleeting girls of our first
bright adventure, and concluded that it was.",Herland,Charlotte Perkins Gilman,1915,CP_023,surprise,15
"“Fancy going to
a dame school--at our age.",Herland,Charlotte Perkins Gilman,1915,CP_024,joy,8
"We tried to
generalize from the names, those of the guards, and of our three girls,
but got nowhere.",Herland,Charlotte Perkins Gilman,1915,CP_024,sadness,19
"I see that I have not remarked that these women had pockets in
surprising number and variety.",Herland,Charlotte Perkins Gilman,1915,CP_027,surprise,17
"Her look was clear and truthful and she did not advance this astonishing
statement as if it was astonishing, but quite as a matter of fact.",Herland,Charlotte Perkins Gilman,1915,CP_033,joy,26
"I find I succeed very poorly in conveying the impression I would like to
of these women.",Herland,Charlotte Perkins Gilman,1915,CP_034,sadness,17
"And we want to know about your
women.”",Herland,Charlotte Perkins Gilman,1915,CP_034,surprise,8
What she said about our importance gave instant pleasure to Terry.,Herland,Charlotte Perkins Gilman,1915,CP_034,joy,11
"Of course we
see, with our birds, that the father is as useful as the mother, almost.",Herland,Charlotte Perkins Gilman,1915,CP_035,joy,17
What do you suppose these Lady Burbanks had done with their cats?,Herland,Charlotte Perkins Gilman,1915,CP_036,surprise,12
"“Is it the men or the women who love this animal
so much?”",Herland,Charlotte Perkins Gilman,1915,CP_038,joy,13
"But those months were pleasant because we were
really getting acquainted with the girls.",Herland,Charlotte Perkins Gilman,1915,CP_039,joy,14
"For five or ten years they worked together, growing stronger and wiser
and more and more mutually attached, and then the miracle happened--one
of these young women bore a child.",Herland,Charlotte Perkins Gilman,1915,CP_041,surprise,30
"Presently
there were twenty-five New Women, Mothers in their own right, and the
whole spirit of the country changed from mourning and mere courageous
resignation to proud joy.",Herland,Charlotte Perkins Gilman,1915,CP_041,joy,28
"She lived to a hundred years old; lived to see her hundred and
twenty-five great-granddaughters born; lived as Queen-Priestess-Mother
of them all; and died with a nobler pride and a fuller joy than perhaps
any human soul has ever known--she alone had founded a new race!",Herland,Charlotte Perkins Gilman,1915,CP_042,joy,46
"And at last they were left alone; the
white-haired First Mother was gone, and this one family, five sisters,
twenty-five first cousins, and a hundred and twenty-five second cousins,
began a new race.",Herland,Charlotte Perkins Gilman,1915,CP_042,sadness,33
"We all know women can’t
organize--that they scrap like anything--are frightfully jealous.”",Herland,Charlotte Perkins Gilman,1915,CP_042,fear,12
"“And it’s a big miss, too.",Herland,Charlotte Perkins Gilman,1915,CP_043,sadness,6
"I was so much interested intellectually that our confinement did not
wear on me; and as for Jeff, bless his heart!--he enjoyed the society of
that tutor of his almost as much as if she had been a girl--I don’t know
but more.",Herland,Charlotte Perkins Gilman,1915,CP_043,joy,43
"As I learned more and more to appreciate what these women had
accomplished, the less proud I was of what we, with all our manhood, had
done.",Herland,Charlotte Perkins Gilman,1915,CP_044,sadness,27
"Women are loved--idolized--honored--kept in the home
to care for the children.”",Herland,Charlotte Perkins Gilman,1915,CP_045,joy,11
"“Oh no,” she said quickly, in real surprise.",Herland,Charlotte Perkins Gilman,1915,CP_048,surprise,8
"He looked so amazed and outraged that Jeff and I laughed outright, but
she went on gently.",Herland,Charlotte Perkins Gilman,1915,CP_048,joy,17
"I tell you, women are the natural cooperators, not men!”",Herland,Charlotte Perkins Gilman,1915,CP_049,joy,10
And how did those women meet it?,Herland,Charlotte Perkins Gilman,1915,CP_049,surprise,7
"As for Somel, she seemed sorry, a little ashamed even, of her too
clearly expressed amazement.",Herland,Charlotte Perkins Gilman,1915,CP_051,sadness,16
"“We soon grew to see that mother-love has more than one channel of
expression.",Herland,Charlotte Perkins Gilman,1915,CP_052,joy,14
"“We have much that
is bitter and hard in our life at home,” I told her, “but this seems to
me piteous beyond words--a whole nation of starving mothers!”",Herland,Charlotte Perkins Gilman,1915,CP_052,sadness,29
"But she smiled her deep contented smile, and said I quite misunderstood.",Herland,Charlotte Perkins Gilman,1915,CP_052,surprise,12
"“We each go without a certain range of personal joy,” she said, “but
remember--we each have a million children to love and serve--_our_
children.”",Herland,Charlotte Perkins Gilman,1915,CP_052,sadness,24
"Jeff said he loved Zava like an
aunt--“only jollier than any aunt I ever saw”; Somel and I were as
chummy as could be--the best of friends; but it was funny to watch Terry
and Moadine.",Herland,Charlotte Perkins Gilman,1915,CP_054,joy,36
"Her grave acquiescence with his most
preposterous expression of feeling; her genial laughter, not only
with, but, I often felt, at him--though impeccably polite; her
innocent questions, which almost invariably led him to say more than he
intended--Jeff and I found it all amusing to watch.",Herland,Charlotte Perkins Gilman,1915,CP_054,joy,46
"Such as our
present Land Mother--what you call president or king, I believe.",Herland,Charlotte Perkins Gilman,1915,CP_055,joy,13
"“I want to find some flaw in all this perfection,” I told her flatly.",Herland,Charlotte Perkins Gilman,1915,CP_060,joy,14
"But if
the fault was in a disproportionate egotism--then the girl was sure
she had the right to have children, even that hers would be better than
others.”",Herland,Charlotte Perkins Gilman,1915,CP_060,joy,28
"Each girl holds it close
and dear, an exquisite joy, a crowning honor, the most intimate, most
personal, most precious thing.",Herland,Charlotte Perkins Gilman,1915,CP_061,joy,21
Surely the care of babies is open to any woman--any mother!”,Herland,Charlotte Perkins Gilman,1915,CP_061,joy,11
