sentence,title,author,year,chunk_id,inferred_emotion,inferred_emotion
"SOME INSTANCES OF THE FOLLY WHICH THE IGNORANCE OF WOMEN GENERATES;
WITH CONCLUDING REFLECTIONS ON THE MORAL IMPROVEMENT THAT A
REVOLUTION IN FEMALE MANNERS MIGHT NATURALLY BE EXPECTED TO
PRODUCE.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_159,neutral,neutral
"The woman who is faithful to
the father of her children demands respect, and should not be
treated like a prostitute; though I readily grant, that if it be
necessary for a man and woman to live together in order to bring up
their offspring, nature never intended that a man should have more
than one wife.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_059,approval,approval
"Considering the length of time that women have been dependent, is
it surprising that some of them hug their chains, and fawn like the
spaniel?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_068,curiosity,curiosity
"And whilst
women are educated to rely on their husbands for judgment, this
must ever be the consequence, for there is no improving an
understanding by halves, nor can any being act wisely from
imitation, because in every circumstance of life there is a kind of
individuality, which requires an exertion of judgment to modify
general rules.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_158,neutral,neutral
"What has she to reflect about, who must obey?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_074,neutral,neutral
Nay the honour of a woman is not made even to depend on her will.,A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_059,neutral,neutral
"Yet, as I have throughout
supposed myself talking to ignorant women, for ignorant ye are in
the most emphatical sense of the word, it would be absurd to reason
with you on the egregious folly of desiring to know what the
Supreme Wisdom has concealed.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_161,annoyance,annoyance
"In this manner may the fondness for dress, conspicuous in women, be
easily accounted for, without supposing it the result of a desire
to please the sex on which they are dependent.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_032,neutral,neutral
"But as women educated like gentlewomen, are never
designed for the humiliating situation which necessity sometimes
forces them to fill; these situations are considered in the light
of a degradation; and they know little of the human heart, who need
to be told, that nothing so painfully sharpens the sensibility as
such a fall in life.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_130,neutral,neutral
"But, allowing what is very natural to man--that the possession of
rare abilities is really calculated to excite over-weening pride,
disgusting in both men and women--in what a state of inferiority
must the female faculties have rusted when such a small portion of
knowledge as those women attained, who have sneeringly been termed
learned women, could be singular?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_157,disgust,disgust
"Necessity never
makes prostitution the business of men's lives; though numberless
are the women who are thus rendered systematically vicious.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_059,neutral,neutral
