keyword,context,title,author,topic
marriage,"a strange, new joy. of marriage as a ceremony they knew",Herland,Charlotte Perkins Gilman,-1
marriage,new joy. of marriage as a ceremony they knew,Herland,Charlotte Perkins Gilman,1
marriage,"“of course they haven’t any marriage ceremony or service, but we",Herland,Charlotte Perkins Gilman,1
marriage,"are monogamous, you know. and marriage is the ceremony, civil and",Herland,Charlotte Perkins Gilman,-1
marriage,with them and made our marriage vows. chapter 11. our difficulties,Herland,Charlotte Perkins Gilman,1
marriage,"see, in any other imaginable marriage among the peoples of the",Herland,Charlotte Perkins Gilman,1
marriage,would have behind her the marriage tradition of our general history.,Herland,Charlotte Perkins Gilman,1
marriage,enjoyed--in our courting days. after marriage there arose in us a,Herland,Charlotte Perkins Gilman,-1
marriage,had ever imagined. before our marriage my own ardor had perhaps,Herland,Charlotte Perkins Gilman,1
marriage,these: the beautiful relation of marriage and the lovely women who,Herland,Charlotte Perkins Gilman,-1
marriage,"proposal of marriage, but of marriage with arthur, with whom she",The Voyage Out,Virginia Woolf,-1
marriage,"once—directly she got back. marriage, marriage that was the right thing,",The Voyage Out,Virginia Woolf,-1
marriage,by rachel the idea of marriage irritated him. it immediately suggested,The Voyage Out,Virginia Woolf,-1
marriage,knew best were unmarried women. marriage seemed to be worse for,The Voyage Out,Virginia Woolf,-1
marriage,"between them, was not their marriage too a compromise? she gave",The Voyage Out,Virginia Woolf,-1
marriage,against undertaking the burden of marriage until he came to rachel’s,The Voyage Out,Virginia Woolf,-1
marriage,against undertaking the burden of marriage until he came to rachel’s,The Voyage Out,Virginia Woolf,-1
marriage,"pursuer. allowing the case against marriage to lapse, he began to",The Voyage Out,Virginia Woolf,-1
marriage,"will make no difference, or marriage or—” the voices of the",The Voyage Out,Virginia Woolf,-1
marriage,"all my life, and our marriage will be the most exciting",The Voyage Out,Virginia Woolf,-1
marriage,"heaven, tried, condemned and sentenced. marriage for her was to be",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,of the woman in the marriage relation is contained in v.,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,recognized. the phraseology announcing the marriage of lamech is very significant.,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,recognized. the phraseology announcing the marriage of lamech is very significant.,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"of their ideals. altogether the marriage of isaac, though rather prosaic,",The Woman's Bible,Elizabeth Cady Stanton,2
