UMAP1,UMAP2,word,cluster
1.55064,4.769702,say,5
2.1609592,4.039698,mr,7
2.5185072,5.108642,come,5
1.4632695,4.341454,think,5
1.4618628,4.397594,know,5
0.8894336,2.7443204,man,6
2.2973824,4.909278,like,5
1.3244647,0.9306129,woman,6
0.4300712,5.693191,look,5
1.8505191,5.160905,little,5
1.722594,3.8503325,good,5
2.5210433,5.4893856,go,5
2.1583354,3.9857666,mrs,7
2.2225983,3.6085706,time,7
3.0950308,4.015659,day,7
0.52889,4.422119,feel,5
1.7936826,4.5132065,thing,5
1.1780926,4.8571243,see,5
1.6940864,4.540318,tell,5
-1.3132112,3.7275,life,6
1.0660309,2.986588,great,5
-0.38770533,4.01253,love,5
0.051843602,4.3877525,long,5
1.6580276,4.0219517,find,7
1.6111957,6.3693075,take,5
1.63867,7.496431,hand,1
2.5405154,4.688284,old,5
1.7670819,4.4295874,way,5
2.1422625,4.7770467,shall,5
-0.26920053,6.127837,eye,1
1.2612851,4.491615,child,5
2.5831084,5.568599,leave,7
-0.14092053,3.0664682,mind,6
0.09717128,3.4866805,give,7
1.8266946,3.728261,miss,7
0.25707066,5.3033853,hear,5
2.1800199,4.007176,young,5
1.9305519,4.775426,want,5
0.47406355,3.904059,speak,5
1.7835077,4.7810946,ask,5
1.8681008,6.28441,away,5
1.6310672,3.8929145,people,5
2.1635613,4.449853,mother,5
2.3351078,4.4011793,father,5
0.8765185,6.6350083,turn,5
1.8283281,6.720388,room,1
0.39781988,3.4977884,wish,5
1.8918628,4.7730274,get,5
1.438197,6.5164304,sit,1
-0.27802685,4.6889615,word,5
2.7296467,4.250945,house,7
2.718067,5.425482,tom,5
-0.31922466,5.806793,face,1
1.8808714,4.808767,let,5
1.1415763,4.574129,begin,5
2.767612,4.0383024,home,7
1.5506907,4.269817,well,5
1.9130211,4.5752954,girl,5
-1.3873082,4.1886735,heart,0
1.8996934,4.653865,talk,5
3.0585294,3.0708416,year,2
1.0864273,3.8351445,mean,5
2.1250246,2.8987095,work,5
2.116347,3.9248679,place,7
3.0567117,3.9019017,lady,7
1.5722145,3.9287734,friend,7
1.1088926,6.415101,stand,1
1.262769,6.7012157,head,1
0.1527011,2.471256,world,6
2.0047271,3.669871,soon,7
2.252643,4.8415184,dear,5
1.3069221,3.9745927,right,5
1.845021,5.1816716,new,7
1.3972412,4.6868443,answer,5
1.2015173,4.5294895,oh,5
2.880194,5.732622,bring,7
0.9647244,6.690018,walk,3
2.5529084,1.5011587,wife,7
0.016476247,3.5323274,hope,5
1.9513005,4.301094,poor,5
-0.36677235,4.3201704,maggie,5
2.2634962,5.248632,jo,5
2.089985,3.681269,live,5
-0.54466224,6.3231897,night,3
0.91552615,4.8161416,half,5
1.3170441,3.950111,sister,7
1.010804,2.8901246,husband,7
2.2546473,5.218567,polly,5
1.1978304,4.5967937,try,5
1.4907584,4.7043405,yes,5
0.60488623,5.9454436,cry,5
1.180803,6.4054675,open,3
3.1046722,3.9828007,call,8
-0.22736572,5.179664,moment,0
-0.13525935,4.3893075,till,5
1.0616094,4.1827517,believe,5
-0.18988065,5.025956,pass,7
-0.40053046,7.053182,light,3
-0.121826254,6.8227334,far,7
2.49009,4.2869434,hour,7
2.2322981,3.811407,return,7
1.167196,0.90009487,god,0
0.9900833,6.136142,hold,1
0.95853806,7.255219,door,8
2.252496,3.425236,family,7
2.5060306,2.4575622,book,5
2.0671854,4.995277,help,5
-0.9225587,3.116848,feeling,0
-0.7826823,4.325146,thought,0
2.4520802,2.6049166,read,5
-0.6513047,3.5394394,bear,5
0.479832,6.341086,fall,3
1.1496521,4.111896,care,5
1.3954251,4.0193586,kind,5
3.150341,4.023684,morning,7
1.5659075,4.285402,sure,5
1.1218839,4.104875,make,5
0.09670034,4.0704145,happy,5
0.44330612,2.7158833,present,7
2.5291078,2.5974474,write,5
-0.055087116,5.774075,voice,5
2.5367239,2.6277394,letter,7
1.4234918,6.93353,round,1
1.3554555,4.821674,bad,5
1.6867206,5.168711,laugh,5
0.30150566,1.5089157,high,6
4.3684306,3.8893187,lydgate,4
-0.07283587,3.5720353,need,5
0.30505252,3.0437696,manner,6
-0.50158703,1.9126077,reason,6
2.948449,3.907294,meet,7
1.4053595,6.7733555,lie,1
1.7621272,3.1960666,marry,5
1.5701607,3.419871,jane,5
1.769067,3.9295466,suppose,5
0.5849335,3.1951256,course,5
1.0164716,3.8524723,sort,5
2.7237446,1.5792812,daughter,7
0.9172171,3.1736865,question,7
-1.1640089,3.1263258,sense,6
1.0435678,4.4968987,dorothea,0
1.9985958,5.2777476,boy,5
0.8974852,6.569898,rise,3
0.44429034,4.801336,rest,5
0.8306929,2.3030097,point,7
2.02944,4.0140805,end,5
2.4136882,5.6637015,run,8
1.7661388,4.0781918,set,8
-0.15832694,1.2411205,nature,6
2.8488777,4.6619897,send,7
0.031956147,2.6440125,idea,6
-0.410361,1.6203873,spirit,0
0.48235536,5.589535,smile,5
0.1833309,4.267955,appear,7
2.8814316,1.3999972,son,2
1.5843364,7.512254,arm,1
-0.15006347,1.3037881,power,6
2.8258543,4.02318,evening,7
0.6835439,3.7292101,change,5
1.0853742,6.17292,draw,1
1.075653,3.0092924,subject,7
0.78917134,7.2518263,air,3
1.2906622,3.126904,emma,7
-0.6476357,3.2057486,pleasure,7
1.7497895,3.7152429,follow,7
1.1524808,5.252695,grow,5
2.1089122,4.5646396,remember,5
2.7736115,3.6180253,brother,7
0.22554964,2.521418,true,6
-0.81102043,3.7850487,strong,0
2.0264883,6.152698,small,1
1.7834815,4.705009,keep,5
1.445243,4.5991764,reply,5
1.9773387,4.532941,fine,8
-1.5009555,4.1693907,soul,0
1.6917719,4.6825037,add,5
2.7147534,3.3017654,money,5
1.6901907,5.030346,forget,5
0.44245425,2.4148242,person,7
2.1442306,7.2765083,table,1
0.8771706,5.9872947,near,3
-0.7787658,3.9770265,fear,0
1.3779272,6.308207,large,1
2.9589922,2.8012092,country,2
2.306911,1.799104,state,6
2.6401515,3.5584786,elizabeth,7
1.5094264,4.5654683,sir,5
1.5065964,3.9614868,expect,7
1.9352474,3.207365,receive,7
-0.10570089,1.4495523,character,6
2.4065275,5.448479,wait,5
2.4794333,4.6604385,mary,5
2.2117043,4.2602797,stay,7
1.1047103,4.152171,understand,5
2.263637,5.133395,play,5
0.37668863,2.793302,consider,6
0.9299804,7.3376393,window,3
1.5727578,6.271717,enter,7
2.7022028,3.9796126,gentleman,7
0.9818646,4.468386,wonder,5
2.2385662,2.4484813,learn,5
2.84463,3.9569736,visit,7
0.95863444,5.5340433,minute,5
1.604639,3.6852374,order,7
1.6013943,4.8281765,hard,5
0.2885573,4.413484,tone,5
4.6132298,3.8734741,tulliver,4
1.1132497,1.823062,fact,6
1.3111943,4.5866246,die,5
2.6472542,5.0241413,master,7
0.82959837,5.778731,watch,3
1.0838579,2.9538157,matter,5
1.3215715,0.94714004,law,2
1.2228662,7.892982,white,1
-0.5643872,3.9086688,lose,5
1.9286687,7.9160976,dress,1
0.01467262,1.4783623,form,6
2.2608116,5.2701054,meg,5
1.4003875,3.4253974,having,7
2.3015196,4.6105747,aunt,5
1.6791316,5.61994,carry,8
3.4047036,5.383979,o,5
1.4412637,6.4581256,lay,1
2.782935,4.4880133,party,7
-0.06254653,2.353657,opinion,6
2.334881,5.13521,pretty,5
2.6460161,0.89575225,lord,2
0.48782894,6.160577,break,0
1.4769624,6.4259076,bed,1
0.326367,3.3034241,ought,5
2.7134557,7.2539043,water,3
0.008326859,2.3460233,allow,7
4.4294167,3.9430554,casaubon,4
-0.26803237,2.4318173,lead,6
2.269718,5.2834325,amy,5
1.2892673,2.9744,early,7
-0.109332606,1.5329874,show,9
0.5876323,7.2409625,beautiful,3
0.5503312,1.6907479,view,6
2.5253816,3.2357125,business,7
0.45786473,6.0433664,close,3
2.597246,3.3650672,pay,5
1.4861821,7.2399254,chair,1
-0.117860414,2.7664168,interest,6
0.38643506,3.3764188,certain,7
0.5073553,3.691003,doubt,5
0.31419483,3.1332846,use,5
0.5884788,1.7874616,marriage,6
1.3714308,7.427966,foot,1
-1.2585802,4.670522,deep,0
2.265958,5.2645454,laurie,5
-0.4154603,2.0911381,respect,6
1.1666913,7.9732623,hair,1
1.5015254,4.5379395,continue,5
-0.6700701,2.259282,body,6
-0.3100503,5.7688026,tear,0
3.458178,4.4468145,rachel,5
0.17432886,1.1020589,human,6
1.4084277,6.8373737,seat,1
-0.57244396,3.3689144,desire,0
2.0772934,4.671046,deal,5
1.8168991,3.4466083,promise,7
1.069823,6.5996947,stop,5
0.18717079,7.78077,tree,3
0.035779852,1.8938466,duty,6
1.5460924,7.019419,fire,3
1.1426706,6.4890237,throw,1
0.7268978,3.1491282,observe,7
-0.4684026,3.167239,truth,6
1.8129649,4.52931,happen,5
-1.2706194,2.975361,affection,6
1.9300166,4.842927,will,5
3.1852224,3.6993291,week,7
2.060013,1.104946,church,2
4.365048,3.831309,bulstrode,4
-0.6503483,3.0068636,possible,7
2.2983935,4.2735224,fred,5
1.6432832,4.386764,glad,5
0.53567535,4.3126473,rosamond,5
-0.027707405,5.5659237,listen,5
1.4014487,7.831447,black,1
0.14897242,4.522911,death,0
2.4565265,4.4859858,uncle,7
2.8606176,5.206354,fellow,5
1.7069714,3.6797287,remain,7
2.1435966,4.555044,enjoy,5
-0.055190563,6.6736236,reach,3
1.6970528,4.7273226,trouble,5
0.021851147,2.553144,object,6
2.315636,5.011773,ready,5
